,pwm,left,right
312,-199,0.0,-0.8299999999999998
313,-198,0.0,-0.8299999999999998
314,-197,0.0,-0.8299999999999998
315,-196,0.0,-0.8299999999999998
316,-195,0.0,-0.8299999999999998
317,-194,0.0,-0.8299999999999998
318,-193,0.0,-0.8299999999999998
319,-192,0.0,-0.8299999999999998
320,-191,0.0,-0.8219999999999998
321,-190,0.0,-0.82
322,-189,0.0,-0.82
323,-188,0.0,-0.82
324,-187,0.0,-0.82
325,-186,0.0,-0.82
326,-185,0.0,-0.82
327,-184,0.0,-0.82
328,-183,0.0,-0.82
329,-182,0.0,-0.82
330,-181,0.0,-0.818
331,-180,0.0,-0.8100000000000002
332,-179,0.0,-0.8100000000000002
333,-178,0.0,-0.8100000000000002
334,-177,0.0,-0.8100000000000002
335,-176,0.0,-0.8100000000000002
336,-175,0.0,-0.8100000000000002
337,-174,0.0,-0.8100000000000002
338,-173,0.0,-0.8100000000000002
339,-172,0.0,-0.808
340,-171,0.0,-0.8019999999999999
341,-170,0.0,-0.79
342,-169,0.0,-0.7860000000000001
343,-168,0.0,-0.7860000000000001
344,-167,0.0,-0.7860000000000001
345,-166,0.0,-0.7840000000000001
346,-165,0.0,-0.7860000000000001
347,-164,0.0,-0.784
348,-163,0.0,-0.7860000000000001
349,-162,0.0,-0.784
350,-161,0.0,-0.784
351,-160,0.0,-0.7840000000000001
352,-159,0.0,-0.784
353,-158,0.0,-0.784
354,-157,0.0,-0.784
355,-156,0.0,-0.7860000000000001
356,-155,0.0,-0.784
357,-154,0.0,-0.7860000000000001
358,-153,0.0,-0.788
359,-152,0.0,-0.7860000000000001
360,-151,0.0,-0.7860000000000001
361,-150,0.0,-0.7860000000000001
362,-149,0.0,-0.7840000000000001
363,-148,0.0,-0.7860000000000001
364,-147,0.0,-0.7860000000000001
365,-146,0.0,-0.784
366,-145,0.0,-0.784
367,-144,0.0,-0.784
368,-143,0.0,-0.784
369,-142,0.0,-0.7840000000000001
370,-141,0.0,-0.7860000000000001
371,-140,0.0,-0.784
372,-139,0.0,-0.7860000000000001
373,-138,0.0,-0.7860000000000001
374,-137,0.0,-0.784
375,-136,0.0,-0.7860000000000001
376,-135,0.0,-0.7840000000000001
377,-134,0.0,-0.752
378,-133,0.0,-0.75
379,-132,0.0,-0.75
380,-131,0.0,-0.7460000000000001
381,-130,0.0,-0.74
382,-129,0.0,-0.74
383,-128,0.0,-0.74
384,-127,0.0,-0.732
385,-126,0.0,-0.73
386,-125,0.0,-0.73
387,-124,0.0,-0.73
388,-123,0.0,-0.73
389,-122,0.0,-0.7219999999999999
390,-121,0.0,-0.72
391,-120,0.0,-0.72
392,-119,0.0,-0.718
393,-118,0.0,-0.712
394,-117,0.0,-0.71
395,-116,0.0,-0.71
396,-115,0.0,-0.71
397,-114,0.0,-0.7
398,-113,0.0,-0.7
399,-112,0.0,-0.7
400,-111,0.0,-0.7
401,-110,0.0,-0.694
402,-109,0.0,-0.69
403,-108,0.0,-0.69
404,-107,0.0,-0.68
405,-106,0.0,-0.68
406,-105,0.0,-0.68
407,-104,0.0,-0.674
408,-103,0.0,-0.67
409,-102,0.0,-0.67
410,-101,0.0,-0.6679999999999999
411,-100,0.0,-0.6559999999999999
412,-99,0.0,-0.65
413,-98,0.0,-0.65
414,-97,0.0,-0.65
415,-96,0.0,-0.6479999999999999
416,-95,0.0,-0.64
417,-94,0.0,-0.64
418,-93,0.0,-0.6359999999999999
419,-92,0.0,-0.63
420,-91,0.0,-0.6220000000000001
421,-90,0.0,-0.62
422,-89,0.0,-0.6159999999999999
423,-88,0.0,-0.6180000000000001
424,-87,0.0,-0.61
425,-86,0.0,-0.6020000000000001
426,-85,0.0,-0.6
427,-84,0.0,-0.59
428,-83,0.0,-0.59
429,-82,0.0,-0.59
430,-81,0.0,-0.5820000000000001
431,-80,0.0,-0.574
432,-79,0.0,-0.57
433,-78,0.0,-0.56
434,-77,0.0,-0.56
435,-76,0.0,-0.556
436,-75,0.0,-0.548
437,-74,0.0,-0.54
438,-73,0.0,-0.522
439,-72,0.0,-0.52
440,-71,0.0,-0.52
441,-70,0.0,-0.5119999999999999
442,-69,0.0,-0.5
443,-68,0.0,-0.49000000000000005
444,-67,0.0,-0.49000000000000005
445,-66,0.0,-0.47400000000000003
446,-65,0.0,-0.462
447,-64,0.0,-0.4600000000000001
448,-63,0.0,-0.45
449,-62,0.0,-0.44000000000000006
450,-61,0.0,-0.438
451,-60,0.0,-0.42000000000000004
452,-59,0.0,-0.41200000000000003
453,-58,0.0,-0.41
454,-57,0.0,-0.39200000000000007
455,-56,0.0,-0.39
456,-55,0.0,-0.37200000000000005
457,-54,0.0,-0.36199999999999993
458,-53,0.0,-0.35200000000000004
459,-52,0.0,-0.34
460,-51,0.0,-0.33
461,-50,0.0,-0.324
462,-49,0.0,-0.312
463,-48,0.0,-0.3
464,-47,0.0,-0.29
465,-46,0.0,-0.272
466,-45,0.0,-0.262
467,-44,0.0,-0.26
468,-43,0.0,-0.25
469,-42,0.0,-0.23199999999999998
470,-41,0.0,-0.22000000000000003
471,-40,0.0,-0.21000000000000002
472,-39,0.0,-0.198
473,-38,0.0,-0.182
474,-37,0.0,-0.17
475,-36,0.0,-0.158
476,-35,0.0,-0.14200000000000002
477,-34,0.0,-0.132
478,-33,0.0,-0.12
479,-32,0.0,-0.11000000000000001
480,-31,0.0,-0.092
481,-30,0.0,-0.08
482,-29,0.0,-0.07
483,-28,0.0,-0.052000000000000005
484,-27,0.0,-0.04
485,-26,0.0,-0.03
486,-25,0.0,-0.002
487,-24,0.0,0.0
488,-23,0.0,0.0
489,-22,0.0,0.0
490,-21,0.0,0.0
491,-20,0.0,0.0
492,-19,0.0,0.0
493,-18,0.0,0.0
494,-17,0.0,0.0
495,-16,0.0,0.0
496,-15,0.0,0.0
497,-14,0.0,0.0
498,-13,0.0,0.0
499,-12,0.0,0.0
500,-11,0.0,0.0
501,-10,0.0,0.0
502,-9,0.0,0.0
503,-8,0.0,0.0
504,-7,0.0,0.0
505,-6,0.0,0.0
506,-5,0.0,0.0
507,-4,0.0,0.0
508,-3,0.0,0.0
509,-2,0.0,0.0
510,-1,0.0,0.0
511,0,0.0,0.0
