,pwm,left,right
293,-218,0.0,-0.8299999999999998
294,-217,0.0,-0.8299999999999998
295,-216,0.0,-0.8299999999999998
296,-215,0.0,-0.8299999999999998
297,-214,0.0,-0.82
298,-213,0.0,-0.8219999999999998
299,-212,0.0,-0.82
300,-211,0.0,-0.82
301,-210,0.0,-0.82
302,-209,0.0,-0.82
303,-208,0.0,-0.82
304,-207,0.0,-0.82
305,-206,0.0,-0.82
306,-205,0.0,-0.818
307,-204,0.0,-0.818
308,-203,0.0,-0.82
309,-202,0.0,-0.82
310,-201,0.0,-0.818
311,-200,0.0,-0.8100000000000002
312,-199,0.0,-0.8100000000000002
313,-198,0.0,-0.818
314,-197,0.0,-0.8160000000000001
315,-196,0.0,-0.8100000000000002
316,-195,0.0,-0.8100000000000002
317,-194,0.0,-0.8100000000000002
318,-193,0.0,-0.8100000000000002
319,-192,0.0,-0.8100000000000002
320,-191,0.0,-0.8100000000000002
321,-190,0.0,-0.8019999999999999
322,-189,0.0,-0.8
323,-188,0.0,-0.8
324,-187,0.0,-0.8100000000000002
325,-186,0.0,-0.8019999999999999
326,-185,0.0,-0.8
327,-184,0.0,-0.8
328,-183,0.0,-0.8
329,-182,0.0,-0.8
330,-181,0.0,-0.8
331,-180,0.0,-0.79
332,-179,0.0,-0.7860000000000001
333,-178,0.0,-0.784
334,-177,0.0,-0.784
335,-176,0.0,-0.786
336,-175,0.0,-0.7840000000000001
337,-174,0.0,-0.784
338,-173,0.0,-0.784
339,-172,0.0,-0.7860000000000001
340,-171,0.0,-0.7860000000000001
341,-170,0.0,-0.7840000000000001
342,-169,0.0,-0.784
343,-168,0.0,-0.7840000000000001
344,-167,0.0,-0.7860000000000001
345,-166,0.0,-0.788
346,-165,0.0,-0.7840000000000001
347,-164,0.0,-0.7840000000000001
348,-163,0.0,-0.7860000000000001
349,-162,0.0,-0.7840000000000001
350,-161,0.0,-0.7840000000000001
351,-160,0.0,-0.782
352,-159,0.0,-0.788
353,-158,0.0,-0.7860000000000001
354,-157,0.0,-0.768
355,-156,0.0,-0.766
356,-155,0.0,-0.764
357,-154,0.0,-0.77
358,-153,0.0,-0.77
359,-152,0.0,-0.762
360,-151,0.0,-0.76
361,-150,0.0,-0.76
362,-149,0.0,-0.75
363,-148,0.0,-0.75
364,-147,0.0,-0.752
365,-146,0.0,-0.7539999999999999
366,-145,0.0,-0.75
367,-144,0.0,-0.74
368,-143,0.0,-0.74
369,-142,0.0,-0.74
370,-141,0.0,-0.74
371,-140,0.0,-0.74
372,-139,0.0,-0.732
373,-138,0.0,-0.73
374,-137,0.0,-0.7239999999999999
375,-136,0.0,-0.726
376,-135,0.0,-0.72
